,0
0,Missouri
1,Iowa
2,Delaware
3,Michigan
4,Hawaii
5,Rhode Island
6,Vermont
7,Alaska
8,Minnesota
9,Colorado
10,New Jersey
11,Pennsylvania
12,Nebraska
13,Maine
14,Massachusetts
15,New Mexico
16,Kansas
17,South Carolina
18,South Dakota
19,New York
20,Tennessee
21,Connecticut
22,New Hampshire
23,Arizona
24,Washington
25,Texas
26,Oklahoma
27,Alabama
28,Illinois
29,Indiana
30,North Dakota
31,Idaho
32,North Carolina
33,Wisconsin
34,Arkansas
35,Montana
36,California
37,Kentucky
38,West Virginia
39,Louisiana
40,Oregon
41,Mississippi
42,Florida
43,Georgia
44,Virginia
45,Maryland
46,Nevada
47,Wyoming
48,Utah
